编号	是什么	为什么	出处	何时消除
D5	不做养成（S29–S31）	用户明确「不用做养成」	用户本轮原话	—
D2	卡池 60 张而非原版 120+	用户明确指定「做 60 张典型卡」	用户本轮原话	用户要求扩充时
D3	塔血量取 hitpoints_per_level 自洽解	官方同一数据文件内 damage_per_level 与 dps_per_level 不自洽	cards_stats_projectile.json	拿到更权威口径时
D4	服务端 tick = 20 TPS（非 60）	官方所有时长均为 50ms 倍数，20 TPS 可整除	cr-sim/cr_sim/engine/constants.py:34	—
D21	S28 单位动画帧段只接入 3 个目录	原始资源/sc/ 只有 3 个 .sc，扩展不出别的目录	策划/单位帧段表.md / 验收表 S28 D21	拿到更多 .sc 时
D22	unit_cs 的 9 个本项目自定列（id/key/name_cn/kind/sprite_dir/summon_* 共 9 列）	列名由本项目定义（官方 JSON 无同名列）；取值口径已逐列写入 unit_cs.txt 说明行	docs/步骤文档.md §4.2 / 策划/数值文档/unit_cs.txt 说明行	用户要求扩充列时
D23	chr_goblin_archer_out（342 帧）在 .cs 语料里零引用	假阳性：该目录被 unit_cs.txt 的 SpearGoblin 行 sprite_dir 数据引用（→ server/game/table/tsv/unit.tsv），不是代码字面量 ⇒ 按「目录名出现在 .cs」判 ⇒ 漏判数据驱动引用	client/Assets/Resources/Sprites/Units/chr_goblin_archer_out + unit_cs.txt:SpearGoblin.sprite_dir	枚举脚本口径改为「代码 + 配表」双源扫描时
D1	不实现冠军（Champion）稀有度与其英雄能力	① 冠军卡的英雄技能是独立机制；② A 的素材集**没有**冠军卡的逐帧精灵	`原版资源/cr-assets-png/assets/sc/` 目录清单无 `chr_archer_queen` 等；`cards.json` 有 5 张 Champion	用户要求补做时
D6	P.E.K.K.A 伤害取官方逐级表的 **816**，而非 `anchors.json` 的 842	`anchors.json` 自述 842 是「交互断点推导」而非读数；同索引血量 3760 两边逐字一致 ⇒ 索引可信。816 仍能一击杀 721 HP 火枪手、打不死 1766 骑士，与文档化交互不冲突	`cards_stats_characters.json` → `damage_per_level[5]`；`anchors.json`；`unit_cs.txt:13`	拿到 live 读数时
D7	若干字段官方逐级表与 `anchors.json` 差 ±1（IceWizard 90/89、ElectroWizard 713/714、Fireball 689/688、Lightning 1056/1057）；`The Log` 伤害 290（anchors 268）	差异来自「官方逐级表」vs「基数×倍率截断」两种算法；统一取**官方逐级数组**（与 D3 同一口径）。Log 取 `LogProjectileRolling.damage_per_level[2]`（Legendary 索引 2）	`cards_stats_projectiles.json` / `cards_stats_spell.json`；`anchors.json`	拿到权威口径时
D8	字体不是原版 Supercell 位图字体（引擎 `DefaultFont()` = `LegacyRuntime`）	A 的字体文件**不在解包素材内**，只有一张 `font/debug.png`	`原版资源/cr-assets-png/assets/font/`；五面板 audit 的 `font=LegacyRuntime`	拿到 A 的字体资源后改 `UIFactory.DefaultFont()` 一处
D9	面板内容框宽 **1000** vs 原版读数 **1023.8**（−23.8 px，−2.3%）	任务书竖版口径「内容框宽 ≤ 1000」，`CrUiStyle.ContentW` 也已定为 1000（G1 共用常量）；取 1000 的收益 = 五面板一致、不越口径	`策划/参考图/12_主菜单_750x1334.png` 逐像素（面板底 x=17..727 ⇒ 711@750）；`CrUiStyle.cs:75`；**G1 片复测同值**（`p1-g1-audit-step6.txt`，原登记为 `D-g1-1`）	主 agent 若放宽口径 ⇒ 只改 `CrUiStyle.ContentW` 一处（会同时影响五个面板）
D10	标题条高 **92** vs 原版 **90.7**（+1.3 px，取整）；面板标题字 56 vs 55.5（+0.5，取整）	原版 63@750 不是整数倍像素，取整本身无解；`TitleBarH` 是 G1 共用常量	同上基线图 y=126..188；`CrUiStyle.cs:180-186`（字号标定）	主 agent 若统一改 `CrUiStyle.TitleBarH` 一处
D11	面板内左右留白 **40** vs 原版 **31.7**（+8.3 px = 0.77% 画布宽）	`CrUiStyle.PanelPad` 是 G1 定的共用值	基线图资料页元素左沿 x=39 相对面板左沿 17 ⇒ 22@750 ×1.44；`CrUiStyle.PanelPad`	主 agent 若改 `CrUiStyle.PanelPad` 一处
D12	顶部玩家信息条 —— **已按原版三段结构落地**（顶带 **167/167** = 原版两条共 167：资源条 78 + 名字条 38 @750）；实测资料页 167.0/1748.2、宽 1067、标题带 106.6 …**逐项差值 0**	残余四项：① 顶带资源条左侧**等级/经验条**未落 ② **部落紫盾徽记**未落 ③ 竞技场卡内画面未落（**订正**：原版卡内是**一张现成的竞技场预览整图帧**（`ui_arena_out` 13 张同款 3D 小场景 + 底部名牌），⛔ 不是用 `arena_training_out` 分层铺出来的 —— 见 D190；本工程亦无「玩家当前竞技场」数据 ⇒ 素材与数据**两头都缺**）④ 8 条统计数值域留空 + 一条 Warn。另：蓝色「缺口缎带」现用 `ui_out` **166 顶替 —— 近似件、非原版件**；模板匹配通道 A + 通道 B 均已穷举排除（通道 B 见 D188）；根因 = 参考图 12 来自 Fandom 维基、与图集（CR 2.1.5）版本不一致（见 D190）⇒ 该图只能作布局参考、不能做像素级找帧。（旧表述「一条 95 高 / 不造货币条」已被三段结构落地取代）	`.ai-tmp/test/fx-menu2-report.md`（逐项读数）；三段结构实现 = `MainMenuPanel.cs`	⚠️ 部分消除：三段结构已落地（顶带 167/167、逐项差值 0）；①~④ 待逐项补件/补数据；缎带：通道 B 已跑（宽帧池最高 NCC 0.5346）⇒ 本图集无此件，现用 `ui_out` 166 为**近似件**（见 D189）
D13	底部导航带（原版 120@750 = **172.8**@1080，5 个页签）—— **已落地**：实测高 **172.8/172.8 = 原版**、4 条页签边界 **180.7 / 362.2 / 716.4 / 897.8 差值全 0**；`NavTabBgStrip`(544) / `NavTabSelectedStrip`(565) / `NavDivider`(438) / `NavLabelShadow`(566) 已接线	残余 = 4 个未选中页签图标（商店/卡牌/部落/赛事）现有帧为**彩色**替代件 ⇒ 导航带均色 **(69,72,57)** vs 原版 **(34,42,47)**。已穷举通道 A（106 个 `.sc` 按名搜 + `menu_bottom*` 8 名字解析 + 3 帧像素判读）**全部排除**；模板匹配通道（通道 B）已跑并排除（`ux-find-c.py`：池 933 张、目标尺寸 88±15%、逐通道 NCC 全不显著或并列；见 D188）	`.ai-tmp/test/fx-menu2-report.md`；基线图 `12_主菜单_750x1334.png` y=1214..1334	未消除：4 帧不在本图集（通道 A + 通道 B 均已穷举排除）⇒ BLOCKED（缺素材：需与 CR 2.1.5 同版的图集或替代件）。⛔ 导航带只连**已存在**的站点，不造假入口（商店/部落/赛事站点本项目仍不存在）
D14	面板底色用 A 的**米黄羊皮纸** `ui_out 806`，原版资料页是**浅灰蓝**实心面板 (216,232,240)	A 图集里**没有**可九宫格拉伸的浅灰蓝**实心**面板帧（最接近的 `ui_out 592` 是空心描边、`014/015` 是深蓝灰实心）⇒ 用 A 原生 `frame_806`	`策划/原版UI素材索引.md` Panels 段；`g1-census-menu.txt` (216,232,240) 行；`CrUiStyle.ContentPanel`；**G1 片复测同值**（原登记为 `D-g1-8`）	找到可拉伸的浅灰蓝实心帧后改 `CrUiStyle.ContentPanel` 一处
D15	**A 无对应界面**的尺寸全为本项目自定：行距 24、行内按钮宽 180、设置音量块 104 + 块间距 28、设置画质/全屏行高 64、暂停面板 1000×884、暂停按钮间距 16、暂停四按钮数量与文案	A 的基线图集里**没有设置界面、也没有暂停界面**（`策划/参考图/清单.md:40`「暂停/设置 — 未取到」）；A 也无「房间」概念 ⇒ 这些数**没有原版出处**，如实登记为本项目自定（能对照的只有"借 A 同类部件的语言"）	基线图清单 §2「未取到的界面」	拿到 A 的设置/暂停界面截图后复核
D16	设置主按钮 **620×110** vs A 同类宽条 **823.7×66.2**（宽 −203.7）	`CrUiStyle.ButtonW / ButtonPrimaryH` 是 G1 共用常量（本片无权改）；A 无「设置主按钮」对照物，只能借同类宽条	`策划/对照表.md` A20（A 同类宽条 823.7×66.2）；`.ai-tmp/test/g3b-audit-SettingsBox.txt`（`CloseButton 620x110`）	主 agent 若统一改 `CrUiStyle.ButtonW` 一处（会同时影响房间/卡组等面板）
D17	滑块「轨道」仍是引擎的**纯色凹槽**（`UIFactory.CreateSlider` 在 root 上 `CreateBoxRect(..., style.TrackColor)`）	引擎只公开 `Slider.fillRect / handleRect`，**轨道没有公开句柄**；本片已把填充（`frame_015` 九宫格）与手柄（`frame_011`）换成 A 原版图元，轨道保留引擎凹槽色。A 无设置界面 ⇒ 轨道本身也没有对照物	`UIWidgetControls.cs:260,287-288`；`g3b-audit-SettingsBox.txt`（slider 行 `IMG sprite=NULL color=(0.02,0.03,0.05)`）	`UIFactory.CreateSlider` 增加「sprite 轨道」入参（引擎侧，另开一片）
D18	河带可见顶边 **17.33** vs 原版 **15.0**（+0.33 格）	多出的 0.33 格是 `arena_training` **f006 底图自身**的青色水带（落在格 15.22..17.21），**不是叠层误差**；同时原版「全宽 x 106..912」的河道像素带夹带了 f022 自己的木板顶段（会在格 4.94..6.57 多出一座桥）⇒ 只改**取像素的窗口**（左沿取 402），不改素材来源帧	`策划/对照表.md` A2 / A3 / A16；`.ai-tmp/test/E1-report.md` 登记；`.ai-tmp/screenshots/E1-arena.png` 像素反算	换用其它竞技场底图帧时（或拿到官方 tilemap 分层时）
D19	**远程弹道未接**：`kind==0`（出牌）时不播从施法者到落点的飞行弹道	服务端配表 `unit_cs` 确有 `projectile_key` / `proj_speed`，但**客户端协议不携带**（`CardInfo` 字段只有 `id/key/name_cn/name_en/type/rarity/elixir/arena/icon`；`client/` 下 `projectile_key\	proj_speed` 0 命中），客户端也没有卡/单位配表 ⇒ 既判不出"是否远程"也取不到速度。**凭空编速度 = 违反铁律 3**	`server/game/table/unit.go`（`UnitRow.ProjectileKey`）vs `client/Assets/Scripts/Def/ProtoDef.cs` 的 `CardInfo`；`.ai-tmp/test/F1b-report.md` + 本条 D19
D20	弹道素材 `EffectArrow`（`f440..459` 20 帧）**已落地但本轮未接线**	同 D19（判据不可得）；素材与 `EffectsView.PlayFlight` 入口**都已在**	`Sprites/Effects/Arrow/`；`ResPaths.EffectArrow/EffectArrowFirst/Count`；`.ai-tmp/test/F1b-report.md` + 本条 D20	同 D19
D24	小字 `FontSmall = 24` 是**过渡值**，原版未量到	A 面板里小字（`#0GJR08UG` 之类）太细，量取窗口与背景对比不足 ⇒ **不编数**	`client/Assets/Scripts/UI/CrUiStyle.cs:197-204`	拿到更清晰的基线图后重新量取
D25	两个 UI 帧**刻意不落地**：`ui_out 10`（白色宽圆角框描边）与 `ui_out 76`（黑色皇冠 小）	它们的图元由**互不相连的几块**组成，Unity 自动切片会切成 2 个 sprite，`Resources.Load<Sprite>` 只拿到其中一块 ⇒ 登记成键会得到「只有一半」的图元。已有 `ButtonCapsule`(2) / `PanelFrameWhiteInner`(532) / `IconCrownBlack`(75) 覆盖同类用途	`策划/原版UI素材索引.md` + `tools/probes/copy-ui-assets.py` 的 65 项落地清单（两帧不在其中）	要用地先明确其九宫格边框
